userID,username,email,password,permissionLevel
0,Daniel1Lopez,Daniel1Lopez@yahoo.com,My4mF`A[I&z9,2
1,Patricia1Davis,Patricia1Davis@proton.me,"3?UY'L""%v*Z2",2
2,Thomas1Williams,Thomas1Williams@proton.me,`i7a3ovP=[&q,2
3,Lisa1Hernandez,Lisa1Hernandez@uwaterloo.ca,xunD\4G(rD!s,2
4,Matthew1Garcia,Matthew1Garcia@yahoo.com,"GfCLe.,H*8}""",1
5,Thomas1Taylor,Thomas1Taylor@uwaterloo.ca,pTE';(=}PJQ6,2
6,Barbara1White,Barbara1White@uwaterloo.ca,"Yv}'.b;Bq""Qc",1
7,Patricia1Jones,Patricia1Jones@gmail.com,PG8xv\]aaK)),1
8,Jennifer1Martin,Jennifer1Martin@uwaterloo.ca,lS'>&!ZZOWuP,1
9,Jennifer1Harris,Jennifer1Harris@proton.me,j{FfZXp<DKK4,2
10,Matthew1Jackson,Matthew1Jackson@outlook.ca,k_U#nI$v~6na,2
11,Nancy1Jackson,Nancy1Jackson@outlook.ca,"Zq,FGZlr$""4J",2
12,Christopher1Hernandez,Christopher1Hernandez@uwaterloo.ca,"Q%?jq3fiGbD,",2
13,John1Thomas,John1Thomas@proton.me,ly]P.!W&j-F4,2
14,William1Jackson,William1Jackson@yahoo.com,^sHTv'?^7dRX,2
15,Thomas2Williams,Thomas2Williams@gmail.com,0-Z:|l$3>qm3,2
16,Joseph1Johnson,Joseph1Johnson@yahoo.com,ep|3e$Pt$LNs,2
17,Elizabeth1Williams,Elizabeth1Williams@yahoo.com,k^(NIq{?;bc%,2
18,Joseph1Jackson,Joseph1Jackson@outlook.ca,}*#m5KZ8tur.,1
19,Joseph2Jackson,Joseph2Jackson@uwaterloo.ca,~IQWK>|q}hLf,2
20,Karen1Thomas,Karen1Thomas@outlook.ca,dbz=\m`V(Hm<,1
21,Mary1Anderson,Mary1Anderson@yahoo.com,",b[pE(z(d>)H",2
22,Daniel1Williams,Daniel1Williams@outlook.ca,c;m_~Zd}D7?s,1
23,Mary1Davis,Mary1Davis@proton.me,spFbq~eTSVkW,2
24,Thomas2Taylor,Thomas2Taylor@outlook.ca,G9k&O#`CRNV&,1
25,Barbara1Lopez,Barbara1Lopez@gmail.com,LESV)5I/i0nc,2
26,Susan1Harris,Susan1Harris@gmail.com,4[pguyl:9F;E,1
27,Christopher1Lee,Christopher1Lee@gmail.com,z7$$`KM}2KD_,1
