userID,username,email,password,permissionLevel
0,Linda1Williams,Linda1Williams@gmail.com,HsfF1Y&Ge-f},2
1,Thomas1Martin,Thomas1Martin@outlook.ca,{BT>e(^}\?]!,2
2,Karen1Gonzalez,Karen1Gonzalez@gmail.com,/xmekpDI[??0,2
3,Susan1Perez,Susan1Perez@proton.me,"LKjviS6(,u.t",1
4,Elizabeth1Hernandez,Elizabeth1Hernandez@gmail.com,kz{fmfl=(CQC,2
5,Lisa1Davis,Lisa1Davis@gmail.com,6-Mi3E9%0>_j,2
6,John1Martinez,John1Martinez@outlook.ca,]i*OSn.MYKS>,1
7,Richard1Jackson,Richard1Jackson@outlook.ca,nQe&;t@W*UQ|,1
8,Matthew1Martin,Matthew1Martin@uwaterloo.ca,"KC,:9=fg{Rl5",2
9,William1Jackson,William1Jackson@proton.me,}|i@:];\nwXf,2
10,Linda1Jackson,Linda1Jackson@gmail.com,"T0vIZQLsR,j>",2
11,William1Smith,William1Smith@outlook.ca,G<(~?=.PJ6Ev,1
12,Robert1Davis,Robert1Davis@yahoo.com,"(6H<RHHk|,J)",2
13,Thomas1Wilson,Thomas1Wilson@uwaterloo.ca,y7~itXnyStyx,2
14,Lisa1Miller,Lisa1Miller@outlook.ca,lz_'/<LQEAtm,2
15,Patricia1Davis,Patricia1Davis@uwaterloo.ca,"<t6^,OjCvM~^",1
16,James1Harris,James1Harris@outlook.ca,"R8\x""P<}kVEV",2
17,Robert1Johnson,Robert1Johnson@uwaterloo.ca,*w0|]xJXt?tM,1
18,Jessica1Harris,Jessica1Harris@yahoo.com,ViI;h{(aiqd},2
19,David1Martinez,David1Martinez@outlook.ca,6NdO-5u:]!U&,2
20,Michael1Martinez,Michael1Martinez@proton.me,"K,99Z3,q>9Lk",2
21,David1Thomas,David1Thomas@outlook.ca,q*B)rE-U'*'c,1
22,Matthew1Jones,Matthew1Jones@yahoo.com,sA*_AP0H#|0_,1
23,James1Johnson,James1Johnson@gmail.com,gzMtJ3KvjJF%,2
24,Charles1Wilson,Charles1Wilson@gmail.com,on3Y15I.x#Ac,2
25,John1Jones,John1Jones@outlook.ca,g]Ix`]1CIxJ<,1
26,Charles1Johnson,Charles1Johnson@yahoo.com,[pEZ@pPiLWm(,1
27,Lisa1Lopez,Lisa1Lopez@yahoo.com,iIgfSvt818E~,1
28,Matthew1Brown,Matthew1Brown@uwaterloo.ca,"V""jjSLw#\hM8",2
29,David1Gonzalez,David1Gonzalez@gmail.com,dG7-pH)%Db(\,2
30,Michael1Hernandez,Michael1Hernandez@outlook.ca,oO<UlanLEkDv,2
31,Christopher1Perez,Christopher1Perez@proton.me,u#Vf?V:E1.A-,1
32,Sarah1Wilson,Sarah1Wilson@yahoo.com,|Xi)~]JU$XP2,1
33,John1Rodriguez,John1Rodriguez@gmail.com,kR|duW7#J7YU,2
34,Michael1Rodriguez,Michael1Rodriguez@gmail.com,*p&eF[ET;S<_,2
35,Richard1Davis,Richard1Davis@yahoo.com,lVKH0ToYHf[7,1
36,Linda1Moore,Linda1Moore@outlook.ca,"nM4Pz,Re]oU_",2
37,Mary1Miller,Mary1Miller@gmail.com,([oN9`iS<r#`,1
38,Michael1Wilson,Michael1Wilson@uwaterloo.ca,EGTYH-+^/(Z+,1
39,Mary1Davis,Mary1Davis@uwaterloo.ca,"""{+I^^Qw=V[3",2
40,Joseph1Martinez,Joseph1Martinez@uwaterloo.ca,"i7oiBp,'b'N4",2
41,Susan1Miller,Susan1Miller@yahoo.com,"""WV`!2`>f.b3",1
42,Elizabeth1Davis,Elizabeth1Davis@proton.me,"{Gd,P,yAzLSp",2
43,Thomas1White,Thomas1White@proton.me,"O""y.U~;mb_""l",1
44,Mary1Moore,Mary1Moore@gmail.com,&_@\:?{H`XB1,1
45,Charles1Rodriguez,Charles1Rodriguez@proton.me,y}}clgE:eHR(,1
46,Robert1Lee,Robert1Lee@yahoo.com,"Q~JHyKLd>),t",2
