userID,username,email,password,permissionLevel
1,k001flanders,krusty.flanders@uwaterloo.ca,password001,1
2,a002leonard,apu.leonard@uwaterloo.ca,password002,2
3,e003wiggum,edna.wiggum@uwaterloo.ca,password003,1
4,b004burns,barney.burns@uwaterloo.ca,password004,1
5,w005smithers,waylon.smithers@uwaterloo.ca,password005,1
6,e006wiggum,edna.wiggum@uwaterloo.ca,password006,1
7,m007szyslak,martin.szyslak@uwaterloo.ca,password007,2
8,l008flanders,lisa.flanders@uwaterloo.ca,password008,2
9,m009nahasapeemapetilon,milhouse.nahasapeemapetilon@uwaterloo.ca,password009,2
10,w010burns,waylon.burns@uwaterloo.ca,password010,1
11,m011nahasapeemapetilon,milhouse.nahasapeemapetilon@uwaterloo.ca,password011,2
12,w012bob,waylon.bob@uwaterloo.ca,password012,1
13,m013bob,martin.bob@uwaterloo.ca,password013,1
14,n014flanders,ned.flanders@uwaterloo.ca,password014,2
15,b015gumble,bart.gumble@uwaterloo.ca,password015,1
16,r016gumble,ralph.gumble@uwaterloo.ca,password016,1
17,s017bob,sideshow.bob@uwaterloo.ca,password017,1
18,b018leonard,bart.leonard@uwaterloo.ca,password018,2
19,m019muntz,marge.muntz@uwaterloo.ca,password019,1
20,m020houten,milhouse.houten@uwaterloo.ca,password020,2
21,w021houten,waylon.houten@uwaterloo.ca,password021,1
22,w022krabappel,waylon.krabappel@uwaterloo.ca,password022,2
23,h023leonard,homer.leonard@uwaterloo.ca,password023,1
24,h024prince,homer.prince@uwaterloo.ca,password024,2
25,m025wiggum,marge.wiggum@uwaterloo.ca,password025,2
26,b026prince,bart.prince@uwaterloo.ca,password026,2
27,w027prince,waylon.prince@uwaterloo.ca,password027,2
28,r028bob,ralph.bob@uwaterloo.ca,password028,2
29,b029bob,barney.bob@uwaterloo.ca,password029,1
30,b030flanders,barney.flanders@uwaterloo.ca,password030,1
31,a031muntz,apu.muntz@uwaterloo.ca,password031,1
32,w032flanders,waylon.flanders@uwaterloo.ca,password032,1
33,l033gumble,lenny.gumble@uwaterloo.ca,password033,1
34,m034krabappel,milhouse.krabappel@uwaterloo.ca,password034,1
35,m035burns,milhouse.burns@uwaterloo.ca,password035,2
36,l036gumble,lisa.gumble@uwaterloo.ca,password036,2
37,n037simpson,nelson.simpson@uwaterloo.ca,password037,2
38,n038krabappel,ned.krabappel@uwaterloo.ca,password038,1
39,m039smithers,milhouse.smithers@uwaterloo.ca,password039,1
40,s040flanders,sideshow.flanders@uwaterloo.ca,password040,1
41,s041skinner,sideshow.skinner@uwaterloo.ca,password041,1
42,l042bob,lenny.bob@uwaterloo.ca,password042,2
43,h043nahasapeemapetilon,homer.nahasapeemapetilon@uwaterloo.ca,password043,1
44,b044houten,bart.houten@uwaterloo.ca,password044,1
45,l045szyslak,lenny.szyslak@uwaterloo.ca,password045,1
46,n046muntz,ned.muntz@uwaterloo.ca,password046,1
47,m047prince,martin.prince@uwaterloo.ca,password047,2
48,l048bob,lenny.bob@uwaterloo.ca,password048,2
49,e049leonard,edna.leonard@uwaterloo.ca,password049,2
50,w050burns,waylon.burns@uwaterloo.ca,password050,1
51,n051simpson,nelson.simpson@uwaterloo.ca,password051,2
52,k052wiggum,krusty.wiggum@uwaterloo.ca,password052,1
53,m053krabappel,marge.krabappel@uwaterloo.ca,password053,2
54,n054gumble,nelson.gumble@uwaterloo.ca,password054,2
55,m055szyslak,moe.szyslak@uwaterloo.ca,password055,2
56,m056nahasapeemapetilon,marge.nahasapeemapetilon@uwaterloo.ca,password056,1
57,b057smithers,bart.smithers@uwaterloo.ca,password057,2
58,b058prince,barney.prince@uwaterloo.ca,password058,2
59,n059nahasapeemapetilon,ned.nahasapeemapetilon@uwaterloo.ca,password059,2
60,e060gumble,edna.gumble@uwaterloo.ca,password060,2
61,m061flanders,maggie.flanders@uwaterloo.ca,password061,2
62,a062skinner,apu.skinner@uwaterloo.ca,password062,1
